tweet_id,user_id,user_screen_name,tweet_created_at,tweet_text,tweet_retweet_count,tweet_favorite_count,user_location,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,user_statuses_count
1264194100301004800,3005733012,Jkylebass,2020-05-23 13:58:55,"Thank you for the discussion @jchatterleyCNN . May 22, 2020 will go down in history as the end of HK’s independence… https://t.co/PoIBUF40yb",603,1360,San Francisco and Dallas,178066,723,1838,18821,2399
1264432324101369857,2877839294,muglikar_,2020-05-24 05:45:32,China is a virus. Chinese are the carrier's. They are trying to test our patience by trying to intrude Ladakh terri… https://t.co/dulGlod8SC,315,1268,"Pune, India",120588,244,280,69685,58007
1264523854027747328,21945983,ray_slowbeat,2020-05-24 11:49:15,"May glory be to thee, #HongKong! Call us terrorists, whatever you want, after the #WuhanVirus outbreak, #China has… https://t.co/mVFKNCdki3",799,1251,Hong Kong ,25234,860,198,17216,6107
1264167946785484801,863527548,steve_hanke,2020-05-23 12:15:00,"#Xi &amp; the #CCP claim they have nothing to hide. Yet, all calls to investigate #COVID19's origins have been met with… https://t.co/78R4CTzQsP",28,61,Baltimore & Paris,251442,25925,2163,6948,29435
1264292798729031680,1117898546055761920,BarnettforAZ,2020-05-23 20:31:07,Real numbers. Real data. #coronavirus #chinavirus #firefauci #OpenUpAmerica fully https://t.co/nImWdAcX6U,20,21,"Phoenix, AZ",18251,11381,40,31867,11937
1262000201759248386,101779040,Sanjay_Dixit,2020-05-17 12:41:09,"Major show of spine by India, as it joins the call by 62 nations into the #WuhanVirus enquiry.
Also India is taking… https://t.co/CZJ75MJcuP",1047,2669,Jaipur,94307,204,1312,3608,141882
1262881864764833802,23865085,brianlilley,2020-05-19 23:04:34,"To put it bluntly, @JustinTrudeau has been following a policy of appeasement when it comes to China. Our allies are… https://t.co/OAOy77N78t",699,1416,Ottawa & Toronto,71479,10613,769,1458,24222
1263866903719817217,38813274,josh_hammer,2020-05-22 16:18:46,"Here is your Friday reminder that the Chinese Communist Party did this.

#ChinaLiedPeopleDied",18,55,"Dallas, TX",58376,1999,508,30721,18620
1263612320476999681,405004997,PeteHegseth,2020-05-21 23:27:08,"Joining @TuckerCarlson tonight to talk about the #WuhanVirus (oops, wait, @KamalaHarris says I can’t say that anymo… https://t.co/2j3Vqia4CU",314,1893,#AmericanCrusade,285181,2743,1066,7880,10764
1261898632556617729,22956220,HeyTammyBruce,2020-05-17 05:57:33,Imperial model could be the most devastating software mistake of all time; The boss of a top software firm asks why… https://t.co/9mNX4DaVbi,225,507,New York/Los Angeles,352845,1332,3216,32676,117881
1262042148989399042,1269258001,YusufDFI,2020-05-17 15:27:50,"Leaked Chinese Virus Database Covers 230 Cities, 640,000 Updates #ChinaLiedPeopleDied #WuhanVirus  https://t.co/sGZoCqiQCm",252,438,"Bangalore, India",36833,1517,237,13544,132083
1263134385424883714,44704537,KanchanGupta,2020-05-20 15:48:00,"I don't think any #CPC boss has ever been called a ""wacko"". This is a whack in the face that will smart for a long… https://t.co/fKh0UH14Zn",100,318,"National Capital Region, India",235661,1008,1427,85250,124105
1263031290116427778,19899606,DVATW,2020-05-20 08:58:20,The Chinese Communist Party must carry the can for Covid. #ChinaLiedPeopleDied https://t.co/4ZqPoQf6EY,85,206,UK,161929,1101,920,49061,189328
1263800259085549568,246500501,GeraldoRivera,2020-05-22 11:53:56,Today we go from Islamist radical attacks on our military bases to Dem hypocrisy over Senate probe of Russiagate to… https://t.co/jB5tOOXRC9,36,143,New York City,348361,914,2158,1382,12042
1263322408439607296,28082599,rajeev_mp,2020-05-21 04:15:08,"#China’s communists hv

❌Ended Buddhist state #Tibet
❌Trying to end Hindu State #Nepal
❌Supports Terror state… https://t.co/UnbR6snG1j",103,227,"Bengaluru, Karnataka",252883,1383,888,55676,50189
